Death_Rate,Time,Type,Mental_Health_Issues,Unemployment_Rates,Median Age,Literacy_Rate,Conviction Rates,Median_Income,High_School_Education,Registered_Firearms,Population
21.3,1,Red,612,5.9,38.5,0.741,0.527,50630,968299,0.019209924,4633802.817
8.3,1,Blue,211,3.5,44.7,0.865,0.229,61020,1059273,0.009043626,1481927.711
11.9,1,Blue,761,4.2,39.6,0.808,0.193,88500,318369,0.01640197,5941176.471
3.4,1,Blue,1101,3.9,40.1,0.826,0.743,86710,1046470,0.00458424,7117647.059
12.3,1,Swing,1422,5,40.2,0.824,0.618,68500,1156496,0.0052222,10000000
7.6,1,Swing,801,3.9,38.5,0.869,0.8418,84250,1978343,0.011259083,5684210.526
19.9,1,Red,423,5.7,38.4,0.723,0.912,49310,937937,0.009291639,2949748.744
19,1,Red,851,4.3,39.3,0.812,0.625,66010,603335,0.010449003,6021052.632
18.9,1,Red,170,4.2,40.1,0.864,0.6257,68480,1265386,0.015490206,1026455.026
9.1,1,Red,281,3.1,37.4,0.836,0.4209,71240,206415,0.009584801,1879120.879
16.8,1,Swing,355,5.4,38.8,0.7472,0.844,66510,328348,0.022867229,2964285.714
9.3,1,Blue,244,2.9,43.4,0.889,0.748,91500,585057,0.02101025,1419354.839
5.5,1,Blue,1178,4.7,40.5,0.7932,0.587,82150,256245,0.00631332,8818181.818
18.1,1,Blue,321,6.8,39.1,0.702,0.4105,58130,1706073,0.043596426,2116022.099
4.4,1,Blue,2772,4.8,39.9,0.746,0.272,73720,370508,0.003442071,20454545.45
13.7,1,Swing,1534,5,39.2,0.789,0.527,64510,3574814,0.012789811,10284671.53
11.9,1,Red,99,2.9,35.8,0.876,0.717,72210,1775886,0.012508222,756302.521
12.9,1,Swing,1872,5.3,39.8,0.813,0.623,64770,134178,0.012124138,11813953.49
19.6,1,Red,561,4.5,37.2,0.793,0.604,61120,2639028,0.016392099,3908163.265
11.9,1,Blue,670,4.3,40.3,0.842,0.629,70950,802529,0.012044517,4310924.37
12,1,Swing,1876,5.2,40.2,0.829,0.4038,73170,655893,0.01718755,12958333.33
4.1,1,Blue,122,4.8,40.7,0.796,0.607,73830,3132444,0.003454041,1195121.951
17.7,1,Red,633,4.5,40.4,0.776,0.717,65200,204045,0.014543997,5033898.305
13.4,1,Red,122,3.2,37.8,0.856,0.5444,68930,981669,0.01723637,805970.1493
17.1,1,Red,991,4.7,39.3,0.787,0.419,61610,163910,0.012974551,6713450.292
12.1,1,Red,3221,4.8,35.4,0.718,0.4352,69770,1465937,0.016909723,27710743.8
12.9,1,Red,432,3.2,31.9,0.855,0.6684,80970,4474711,0.018954981,2868217.054
11.1,1,Blue,119,3.1,43.3,0.878,0.528,73000,404605,0.006721192,702702.7027
12.1,1,Blue,1223,4,39.1,0.825,0.9773,79730,128767,0.032453838,8669421.488
9,1,Blue,1067,4.9,38.3,0.834,0.5873,84360,1372836,0.009965204,7622222.222
17.5,1,Red,333,5.6,42.9,0.781,0.6682,53220,1111786,0.016625,1897142.857
11.4,1,Swing,850,3.6,40.5,0.843,0.4353,71770,512228,0.009219063,5824561.404
17.4,1,Red,92,5,39.3,0.864,0.6272,69390,1222607,0.220147901,580459.7701
22.9,2,Red,701,4,39.3,0.761,0.774,60270,1029982,0.032932197,4908296.943
24.5,2,Red,87,6.4,35.7,0.839,0.6082,85170,133132,0.021538222,734693.8776
15.8,2,Swing,886,4.9,38.5,0.749,0.728,72080,1136493,0.025042861,7177215.19
20.3,2,Red,345,3.8,38.4,0.7641,0.5874,57580,683285,0.026440005,3019704.433
7.9,2,Blue,5820,4.5,37.3,0.712,0.7134,82260,5541182,0.008550609,40303797.47
13.4,2,Blue,781,2.8,37.8,0.842,0.325,87460,815595,0.015900244,5813432.836
5.1,2,Blue,385,4.3,41.1,0.838,0.835,85820,676911,0.022353191,3686274.51
11.7,2,Blue,294,4.2,41.6,0.807,0.3182,73480,218309,0.00511427,948717.9487
12.4,2,Swing,2753,4,42.8,0.743,0.4978,63300,85033,0.015626913,21967741.94
15.4,2,Swing,1231,4.4,37.6,0.758,0.5252,67230,4330040,0.018033087,10538961.04
2.5,2,Blue,178,1.9,40.8,0.848,0.4792,86760,1936501,0.005037821,1560000
16.4,2,Red,211,3.1,37.6,0.831,0.6831,70990,280494,0.029031514,1707317.073
12.1,2,Blue,1342,4.7,39.4,0.791,0.6572,76180,313029,0.011487315,12752066.12
15.3,2,Red,1329,3.3,37.4,0.819,0.4223,69420,2272174,0.017170184,6640522.876
9,2,Red,341,2.8,38.9,0.881,0.645,74850,1450767,0.008752423,3255555.556
16,2,Red,323,3.4,37.6,0.853,0.536,68240,639230,0.01807176,2912500
16.2,2,Red,717,4.3,39.9,0.792,0.6366,60550,490769,0.017990433,4506172.84
