Death_Rate,Time,Type,Mental_Health_Issues,Unemployment_Rates,Median Age,Literacy_Rate,Conviction Rates,Median_Income,High_School_Education,Registered_Firearms,Population
20.7,5,Red,542,5.2,37.9,0.803,0.524,59150,2646258.5,0.022776015,3990338.164
13,5,Blue,426,6.6,40.3,0.857,0.712,86630,818472.5,0.018257314,4553846.154
13.6,5,Swing,1982,7.7,41.2,0.831,0.4328,79800,675917,0.024673909,12882352.94
5.1,5,Blue,233,6.9,40.8,0.791,0.5562,90380,3075512.5,0.004518222,1058823.529
22,5,Red,482,4.9,40.2,0.751,0.7279,68020,213356.5,0.020206737,5140909.091
13.6,5,Red,287,3.2,37.7,0.845,0.606,79120,1021115,0.0424762,882352.9412
21.3,5,Red,113,5.7,39.2,0.775,0.4425,61970,174807.5,0.019155684,6915492.958
14.2,5,Red,3424,6.9,35.9,0.721,0.4872,77110,1491594,0.028308232,29323943.66
13.6,5,Red,291,3.6,32.2,0.857,0.564,94680,4728949,0.030924942,3154411.765
11.6,5,Blue,190,4.4,38.2,0.851,0.518,75810,443608,0.012770684,655172.4138
13.4,5,Blue,1323,5.1,38.1,0.825,0.901,92670,125206.5,0.044622457,8761194.03
10.9,5,Blue,1432,6.6,37.2,0.821,0.505,91710,1404104.5,0.017249628,7926605.505
18.1,5,Red,209,6.3,42.8,0.789,0.657,58580,1168011.5,0.024916182,1795580.11
12.2,5,Swing,786,4.8,40.7,0.841,0.5052,75980,505371,0.01416289,5877049.18
25.9,5,Red,87,5.4,39.1,0.858,0.661,73780,1222874,0.230991,594594.5946
26.4,6,Red,770,2.7,39.2,0.762,0.827,61390,1079285,0.039132228,4981060.606
25.2,6,Red,129,5.4,35.2,0.839,0.572,87490,135473,0.039097385,722222.2222
18.3,6,Swing,876,3.7,38.7,0.748,0.621,76370,1168057,0.034681651,7459016.393
23.3,6,Red,231,3.3,37.2,0.7611,0.5274,54760,695062,0.044724317,2995708.155
9,6,Blue,5423,5.5,36.4,0.714,0.715,87960,5578997,0.010227181,39733333.33
17.8,6,Blue,762,4.2,37.2,0.8421,0.4905,91610,814373,0.024990598,5977528.09
6.7,6,Blue,479,5.1,41.7,0.837,0.765,87300,646776,0.020228056,3701492.537
16.6,6,Blue,234,4.7,40.5,0.804,0.3228,74070,201366,0.006400456,951807.2289
14.1,6,Swing,2431,3.6,42.1,0.7431,0.415,64410,70925,0.023278238,22283687.94
20.3,6,Swing,1309,3.2,35.1,0.7581,0.435,66310,4363466,0.028062351,10837438.42
4.8,6,Blue,234,3.2,41.5,0.858,0.5993,88630,1930376,0.006273803,1479166.667
16.3,6,Red,287,2.8,36.2,0.835,0.7563,82940,269095,0.040314806,1895705.521
16.1,6,Blue,1238,4.9,37.3,0.799,0.6872,85460,338282,0.011681498,12391304.35
18.4,6,Red,1623,3,36,0.811,0.4183,75690,2194993,0.023172233,6798913.043
11.2,6,Red,112,2.9,38.1,0.881,0.6361,78100,1517996,0.016670154,3250000
17.3,6,Red,266,2.6,37.8,0.853,0.5556,81930,646672,0.024023956,2907514.451
21.1,6,Red,713,4.1,40.6,0.792,0.614,59980,493645,0.024248958,4488151.659
29.1,6,Red,623,4.1,38.2,0.753,0.537,61690,1007954,0.03367561,4515463.918
12.6,6,Blue,347,3.9,44.4,0.878,0.3199,76710,1023442,0.015145483,1412698.413
15.2,6,Blue,751,3.7,39.6,0.828,0.1273,105000,300595,0.022635043,6019736.842
3.4,6,Blue,1276,3.9,39.9,0.823,0.7183,93340,1019047,0.006213328,7264705.882
15.4,6,Swing,1555,4.6,41.1,0.814,0.6398,69540,1124134,0.010955045,10025974.03
10,6,Swing,763,3,39.3,0.854,0.8313,86740,2003265,0.022657068,5730000
33.9,6,Red,583,4.3,37.1,0.713,0.913,50290,909518,0.02844217,2837758.112
23.2,6,Red,856,3.1,39.3,0.823,0.6145,68570,586187,0.018597901,6094827.586
25.1,6,Red,213,2.7,40.3,0.819,0.6173,70090,1303894,0.032879207,1115537.849
10.3,6,Red,351,2.2,38.8,0.842,0.359,84220,205527,0.022279415,1941747.573
19.8,6,Swing,409,5.5,38.2,0.7571,0.8948,69380,325200,0.037224938,3196969.697
8.3,6,Blue,277,2.5,41.9,0.893,0.7198,95800,597385,0.048877553,1481927.711
5.2,6,Blue,823,5.4,40.2,0.782,0.607,95490,267904,0.011191276,9134615.385
27.8,6,Blue,288,5.6,39.1,0.716,0.425,57650,1649422,0.059143779,2079136.691
5.4,6,Blue,2234,5.4,38.8,0.741,0.2302,78630,372497,0.004618102,19962962.96
17.3,6,Swing,1432,3.9,39.2,0.789,0.4634,67820,3409426,0.020899792,10630057.8
16.8,6,Red,83,2.3,35.3,0.872,0.697,74280,1802594,0.040654688,761904.7619
16.5,6,Swing,1650,4.2,36.3,0.813,0.613,67600,133316,0.018016256,11581818.18
21.2,6,Red,492,2.9,37.2,0.787,0.6346,64800,2664759,0.026212938,3943396.226
14.9,6,Blue,430,4,41.3,0.851,0.629,88260,811661,0.021677054,4496644.295
14.8,6,Swing,1888,4.6,41.6,0.832,0.3428,78310,664591,0.027049195,12871621.62
5.6,6,Blue,256,3.8,40.2,0.778,0.6127,80850,3047979,0.004276125,1142857.143
22.4,6,Red,470,3.4,40.3,0.774,0.7127,67440,214431,0.023505211,5071428.571
14.3,6,Red,301,2.1,37.7,0.858,0.515,79680,1026970,0.072244047,895104.8951
22.8,6,Red,115,3.6,39.2,0.782,0.4123,67030,172971,0.022020528,6881578.947
15.6,6,Red,3329,4.5,35.8,0.728,0.4329,72680,1502435,0.034039146,29570512.82
13.9,6,Red,304,2.2,32.7,0.858,0.6128,94510,4723476,0.036574916,3237410.072
11.9,6,Blue,191,2.8,37.2,0.868,0.5308,82040,445010,0.60748353,697478.9916
14.3,6,Blue,1492,3,38.9,0.816,0.9537,86550,121159,0.001082927,8727272.727
11.2,6,Blue,1093,4.1,38.5,0.831,0.537,94510,1420599,0.02069175,8000000
17.3,6,Red,177,4,42.5,0.7823,0.7108,50500,1168676,0.027638241,1843930.636
13.5,6,Swing,666,2.9,40.3,0.8431,0.4251,75420,495311,0.016245965,5874074.074
26.1,6,Red,80,3.7,39.7,0.858,0.6275,76620,1222356,0.239525594,593869.7318
